branchName,Category,Subcategory,Half Value,Year,Item Code,Size,Unique Code,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,38,3PP0924WC38849I8G,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34PJOB8E,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34Y0J31G,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34I3ZDT9,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34JJA1LE,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T341XU3DM,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T345SFDTP,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T340M2EGZ,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34MBYGK0,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34S79J7L,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34F3LW0J,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34YO31H6,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34X9NOUU,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34BOKUD8,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34OXR9SD,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34TAO563,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T3420CFEY,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T34PJY0MD,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,34,3PP0924T342JK81W,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40Y22000,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40FUHFXQ,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40U3XKXD,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40UQB1HR,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ409S4J32,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40OYC7US,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40X9F5N5,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40BTG15K,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40DQBHKA,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ400G6EJ3,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ4005SHSQ,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ406OQ4K6,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40637KPN,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40UTC9FI,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40JIQDGH,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40084PLD,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,40,3PP0924BZ40X7BPVU,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40UNTRCE,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40H9O2F1,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC4051MQ8D,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40E4J9KE,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40DIH2AF,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T365RURLH,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36JY3KFL,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36TCUMWB,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36QOY8KY,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36KGEYLD,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36ZJY011,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36FGEAA8,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T3677L7VB,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36YNXFBQ,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36HHQJ8Z,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36YAZBGB,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36TTTLLK,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T368DT1WD,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36NZ97BV,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T36TCBDWG, ,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T366ZGZF9,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,36,3PP0924T368V50BN,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC408L2GTT,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40KUE08A,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40LZXUT5,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40QTZLBD,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40TN6DB4,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40KAVP9N,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC401HV083,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC406KQKPW,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40B5OOVP,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40J4H7R8,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40M62F9J,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40YFT89W,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40AEHQFY,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,40,3PP0924WC40N7CU2B,,,,,,,,,
